food_id,food_name,alt_names,meal_type,category,calories,protein,carbs,fat,portion,source,has_pork,has_beef,has_chicken,has_seafood,has_fish,has_shellfish,has_egg,has_dairy,has_nuts,has_gluten,has_soy,is_vegetarian,is_vegan,is_high_protein,is_low_carb,is_low_fat,is_diabetic_friendly,dietary_tags
B030,Tsokolate,Filipino hot chocolate,breakfast,Beverages,160,3,24,6,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,vegetarian|no-meat
M001,Champorado with Tuyo,Chocolate rice porridge with dried fish,main,Mixed Dishes & Prepared Foods,380,18,62,6,1 serving,Philippine Food Database,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,seafood|pescatarian
M002,Lugaw with Egg,Rice porridge with egg,main,Mixed Dishes & Prepared Foods,280,14,42,5,1 serving,Philippine Food Database,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,egg|no-meat
M003,Pandesal with Eggs,3 pandesal + 2 eggs,main,Mixed Dishes & Prepared Foods,420,20,55,12,1 serving,Philippine Food Database,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,egg|no-meat
M004,Chicken Adobo with Rice,Adobong manok with rice,main,Mixed Dishes & Prepared Foods,520,42,55,15,1 serving,Philippine Food Database,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,chicken
M005,Sinigang na Baboy,Pork in sour tamarind soup,main,Mixed Dishes & Prepared Foods,380,28,25,18,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,pork
M006,Kare-Kare,Oxtail in peanut sauce,main,Mixed Dishes & Prepared Foods,620,35,48,32,1 serving,Philippine Food Database,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,beef
M007,Beef Caldereta,Beef stew in tomato sauce,main,Mixed Dishes & Prepared Foods,580,38,42,28,1 serving,Philippine Food Database,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,beef
M008,Lechon Kawali with Rice,Crispy pork belly with rice,main,Mixed Dishes & Prepared Foods,680,35,52,38,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,pork
M009,Tinola,Chicken ginger soup,main,Mixed Dishes & Prepared Foods,320,32,22,12,1 serving,Philippine Food Database,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,chicken
M010,Pork Sinigang,Pork in sour soup,main,Mixed Dishes & Prepared Foods,420,30,28,20,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,pork
M011,Grilled Bangus with Rice,Inihaw na bangus with rice,main,Mixed Dishes & Prepared Foods,480,42,48,14,1 serving,Philippine Food Database,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,seafood|pescatarian
M012,Beef Mechado,Beef in tomato sauce,main,Mixed Dishes & Prepared Foods,520,38,42,22,1 serving,Philippine Food Database,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,beef
M013,Pork Bistek,Pork steak Filipino style,main,Mixed Dishes & Prepared Foods,480,35,38,20,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,pork
M014,Fish Escabeche,Sweet and sour fish,main,Mixed Dishes & Prepared Foods,420,38,35,14,1 serving,Philippine Food Database,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,seafood|pescatarian
M015,Chicken Afritada,Chicken in tomato sauce,main,Mixed Dishes & Prepared Foods,450,36,40,16,1 serving,Philippine Food Database,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,chicken
M016,Pork Menudo,Pork and liver stew,main,Mixed Dishes & Prepared Foods,520,32,45,24,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,pork
M017,Grilled Liempo with Rice,Grilled pork belly with rice,main,Mixed Dishes & Prepared Foods,620,38,48,32,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,pork
M018,Adobong Pusit,Squid adobo,main,Mixed Dishes & Prepared Foods,380,35,28,15,1 serving,Philippine Food Database,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,seafood|pescatarian
M019,Beef Tapa,Cured beef,main,Meat & Poultry,200,25,2,10,1 serving,Philippine Food Database,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,beef
M020,Chicken Sisig,Chopped chicken with onions,main,Mixed Dishes & Prepared Foods,350,28,12,22,1 serving,Philippine Food Database,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,pork|chicken
M021,Pork Sisig,Chopped pork with onions,main,Mixed Dishes & Prepared Foods,420,25,8,32,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,pork
M022,Tokwa't Baboy,Tofu and pork,main,Mixed Dishes & Prepared Foods,280,18,15,18,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,pork
M023,Lechon Manok,Roasted chicken,main,Meat & Poultry,450,45,5,28,1 serving,Philippine Food Database,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,pork|chicken
M024,Crispy Pata,Deep fried pork leg,main,Meat & Poultry,780,42,18,62,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,pork
M025,Beef Pares,Braised beef with rice,main,Mixed Dishes & Prepared Foods,520,38,55,18,1 serving,Philippine Food Database,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,beef
M026,Goto,Beef tripe porridge,main,Mixed Dishes & Prepared Foods,320,18,38,12,1 serving,Philippine Food Database,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,beef
M027,Lumpiang Shanghai,Fried spring rolls,main,Mixed Dishes & Prepared Foods,180,8,12,12,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no-meat
M028,Siopao,Steamed bun with filling,main,Mixed Dishes & Prepared Foods,280,12,42,8,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no-meat
M029,Buko Pandan,Young coconut salad dessert,main,Sweets & Desserts,220,3,42,6,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no-meat
M030,Maja Blanca,Coconut pudding,main,Sweets & Desserts,260,5,48,6,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,vegan|no-meat
M031,Buko Salad,Young coconut fruit salad,main,Sweets & Desserts,240,3,38,8,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no-meat
M032,Ginataang Bilo-Bilo,Sweet rice balls in coconut milk,main,Sweets & Desserts,320,4,55,10,1 serving,Philippine Food Database,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no-meat
M033,Sapin-Sapin,Layered rice cake,main,Sweets & Desserts,280,5,52,6,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,vegan|no-meat
M034,Nilupak,Mashed cassava/banana,main,Sweets & Desserts,240,3,48,5,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,vegan|no-meat
M035,Pitsi-Pitsi,Cassava balls with coconut,main,Sweets & Desserts,200,2,42,3,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,vegan|no-meat
M036,Lumpia Sariwa,Fresh spring roll,main,Mixed Dishes & Prepared Foods,220,8,32,7,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no-meat
M037,Ukoy,Shrimp fritters,main,Fish & Seafood,180,10,18,8,1 serving,Philippine Food Database,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,seafood|pescatarian
M038,Rellenong Bangus,Stuffed milkfish,main,Fish & Seafood,420,38,12,25,1 serving,Philippine Food Database,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,seafood|pescatarian
M039,Pinakbet,Mixed vegetables with shrimp paste,main,Vegetables,180,8,22,7,1 serving,Philippine Food Database,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,seafood|pescatarian
M040,Ginataang Gulay,Vegetables in coconut milk,main,Vegetables,220,6,18,14,1 serving,Philippine Food Database,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,vegetarian|no-meat
M041,Tortang Talong,Eggplant omelet,main,Vegetables,180,10,12,10,1 serving,Philippine Food Database,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,egg|vegetarian|no-meat
M042,Ginisang Ampalaya,Sauteed bitter gourd,main,Vegetables,120,5,10,7,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,vegetarian|vegan|no-meat
M043,Adobong Kangkong,Water spinach adobo,main,Vegetables,100,3,8,6,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,vegetarian|vegan|no-meat
M044,Chicharon Bulaklak,Deep fried intestinal lining,main,Meat & Poultry,380,12,5,35,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no-meat
M045,Paksiw na Baboy,Pork in vinegar,main,Meat & Poultry,420,32,15,28,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,pork
M046,Sinigang na Hipon,Shrimp in sour soup,main,Fish & Seafood,180,18,15,6,1 serving,Philippine Food Database,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,seafood|pescatarian
M047,Ginataang Alimasag,Crab in coconut milk,main,Fish & Seafood,280,22,12,16,1 serving,Philippine Food Database,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,seafood|pescatarian
M048,Inihaw na Pusit,Grilled squid,main,Fish & Seafood,220,28,8,8,1 serving,Philippine Food Database,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,seafood|pescatarian
M049,Inihaw na Liempo,Grilled pork belly,main,Meat & Poultry,480,28,3,38,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,pork
M050,Fried Chicken,Pritong manok,main,Meat & Poultry,420,35,15,25,1 serving,Philippine Food Database,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,chicken
M051,Sweet and Sour Pork,Filipino style,main,Mixed Dishes & Prepared Foods,480,28,42,22,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,pork
M052,Tuyong Pusit,Dried squid,main,Fish & Seafood,180,22,8,7,1 serving,Philippine Food Database,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,seafood|pescatarian
M053,Chicharong Baboy,Pork cracklings,main,Meat & Poultry,520,28,5,42,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,pork
M054,Empanada,Fried meat pie,main,Mixed Dishes & Prepared Foods,320,12,35,15,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no-meat
M055,Pancit Malabon,Thick noodles with seafood,main,Mixed Dishes & Prepared Foods,380,18,52,12,1 serving,Philippine Food Database,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,seafood|pescatarian
M056,Pancit Luglog,Noodles with thick sauce,main,Mixed Dishes & Prepared Foods,350,15,55,10,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no-meat
M057,Sotanghon Guisado,Sauteed glass noodles,main,Mixed Dishes & Prepared Foods,280,12,42,8,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no-meat
M058,Lomi,Thick egg noodle soup,main,Mixed Dishes & Prepared Foods,380,18,48,14,1 serving,Philippine Food Database,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,egg|no-meat
M059,Mami,Filipino noodle soup,main,Mixed Dishes & Prepared Foods,320,15,45,10,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no-meat
M060,Batchoy,Noodle soup with pork,main,Mixed Dishes & Prepared Foods,420,22,48,16,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,pork
M061,Bulalo,Beef shank soup,main,Mixed Dishes & Prepared Foods,380,28,18,22,1 serving,Philippine Food Database,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,beef
M062,Nilagang Baka,Boiled beef with vegetables,main,Mixed Dishes & Prepared Foods,320,25,22,15,1 serving,Philippine Food Database,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,beef
M063,Pochero,Beef and vegetable stew,main,Mixed Dishes & Prepared Foods,380,28,32,16,1 serving,Philippine Food Database,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,beef
M064,Kalderetang Kambing,Goat stew,main,Meat & Poultry,480,32,28,28,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no-meat
M065,Papaitan,Bitter goat soup,main,Meat & Poultry,280,22,12,16,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no-meat
M066,Pinapaitan,Bitter innards soup,main,Meat & Poultry,260,20,10,15,1 serving,Philippine Food Database,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no-meat
M067,Bopis,Spicy pork lungs and heart,main,Meat & Poultry,320,24,15,20,1 serving,Philippine Food Database,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,pork
M068,Pinakbet,,main,Mixed Dishes & Prepared Foods,163,5,20,7,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,vegetarian|vegan|no-meat
M069,Chicken Tinola,,main,Mixed Dishes & Prepared Foods,230,30,5,10,1 serving,UlamCal,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,chicken
M070,Ginisang Ampalaya,,main,Mixed Dishes & Prepared Foods,215,10,10,15,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,vegetarian|vegan|no-meat
M071,Sinigang na Isda,,main,Mixed Dishes & Prepared Foods,185,25,10,5,1 serving,UlamCal,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no-meat
M072,Chicken Adobo,,main,Mixed Dishes & Prepared Foods,295,30,10,15,1 serving,UlamCal,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,chicken
M073,Pork Adobo,,main,Mixed Dishes & Prepared Foods,320,25,10,20,1 serving,UlamCal,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,pork
M074,Balut,,main,Mixed Dishes & Prepared Foods,164,13,1,12,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no-meat
M075,Hard Boiled Egg,,main,Mixed Dishes & Prepared Foods,73,6,1,5,1 serving,UlamCal,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,egg|no-meat
M076,Soft Boiled Egg,,main,Mixed Dishes & Prepared Foods,73,6,1,5,1 serving,UlamCal,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,egg|no-meat
M077,Sunny side up,,main,Mixed Dishes & Prepared Foods,91,6,1,7,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no-meat
M078,Scrambled egg,,main,Mixed Dishes & Prepared Foods,95,7,1,7,1 serving,UlamCal,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,egg|no-meat
M079,Kare-Kare,,main,Mixed Dishes & Prepared Foods,385,20,20,25,1 serving,UlamCal,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,beef
M080,Pork Sinigang,,main,Mixed Dishes & Prepared Foods,295,25,15,15,1 serving,UlamCal,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,pork
M081,Sinigang na Kangkong,,main,Mixed Dishes & Prepared Foods,145,5,20,5,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,vegetarian|vegan|no-meat
M082,Sinigang na Bangus,,main,Mixed Dishes & Prepared Foods,250,30,10,10,1 serving,UlamCal,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,seafood|pescatarian
M083,Sinigang na Baka,,main,Mixed Dishes & Prepared Foods,360,30,15,20,1 serving,UlamCal,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,beef
M084,Sinigang na Hipon,,main,Mixed Dishes & Prepared Foods,185,25,10,5,1 serving,UlamCal,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,seafood|pescatarian
M085,Lechon,,main,Mixed Dishes & Prepared Foods,520,30,10,40,1 serving,UlamCal,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,pork
M086,Lechon Kawali,,main,Mixed Dishes & Prepared Foods,410,25,10,30,1 serving,UlamCal,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,pork
M087,Paksiw na Isda,,main,Mixed Dishes & Prepared Foods,275,25,10,15,1 serving,UlamCal,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,pork
M088,Pork Tinola,,main,Mixed Dishes & Prepared Foods,295,30,10,15,1 serving,UlamCal,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,pork|chicken
M089,Fried Chicken,,main,Mixed Dishes & Prepared Foods,405,30,15,25,1 serving,UlamCal,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,chicken
M090,Nilagang Baka,,main,Mixed Dishes & Prepared Foods,360,30,15,20,1 serving,UlamCal,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,beef
M091,Nilagang Manok,,main,Mixed Dishes & Prepared Foods,295,30,10,15,1 serving,UlamCal,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,beef|chicken
M092,Nilagang Baboy,,main,Mixed Dishes & Prepared Foods,360,30,15,20,1 serving,UlamCal,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,pork|beef
M093,Inihaw na Liempo,,main,Mixed Dishes & Prepared Foods,280,25,0,20,1 serving,UlamCal,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,pork
M094,Pork Sisig,,main,Mixed Dishes & Prepared Foods,235,20,5,15,1 serving,UlamCal,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,pork
M095,Banana cue,,main,Mixed Dishes & Prepared Foods,144,1,35,0,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,vegan|no-meat
M096,Filipino Spaghetti,,main,Mixed Dishes & Prepared Foods,165,5,25,5,1 serving,UlamCal,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no-meat
M097,Beef Papaitan,,main,Mixed Dishes & Prepared Foods,190,20,5,10,1 serving,UlamCal,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,beef
